N: 10000 missed percentage: 1.000 func no: 9, theta: 1.500000e-01
N: 20000 missed percentage: 0.700 func no: 9, theta: 1.500000e-01
N: 30000 missed percentage: 1.100 func no: 9, theta: 1.500000e-01
N:    10 missed percentage: 18.050 func no: 9, theta: 1.600000e-01
N:   100 missed percentage: 1.450 func no: 9, theta: 1.600000e-01
N:  1000 missed percentage: 1.150 func no: 9, theta: 1.600000e-01
N: 10000 missed percentage: 1.300 func no: 9, theta: 1.600000e-01
N: 20000 missed percentage: 0.900 func no: 9, theta: 1.600000e-01
N: 30000 missed percentage: 0.750 func no: 9, theta: 1.600000e-01
N:    10 missed percentage: 15.450 func no: 9, theta: 1.700000e-01
N:   100 missed percentage: 2.000 func no: 9, theta: 1.700000e-01
N:  1000 missed percentage: 0.900 func no: 9, theta: 1.700000e-01
N: 10000 missed percentage: 1.400 func no: 9, theta: 1.700000e-01
N: 20000 missed percentage: 1.200 func no: 9, theta: 1.700000e-01
N: 30000 missed percentage: 1.100 func no: 9, theta: 1.700000e-01
N:    10 missed percentage: 13.800 func no: 9, theta: 1.800000e-01
N:   100 missed percentage: 2.500 func no: 9, theta: 1.800000e-01
N:  1000 missed percentage: 1.050 func no: 9, theta: 1.800000e-01
N: 10000 missed percentage: 0.750 func no: 9, theta: 1.800000e-01
N: 20000 missed percentage: 0.950 func no: 9, theta: 1.800000e-01
N: 30000 missed percentage: 0.900 func no: 9, theta: 1.800000e-01
N:    10 missed percentage: 12.500 func no: 9, theta: 1.900000e-01
N:   100 missed percentage: 1.250 func no: 9, theta: 1.900000e-01
N:  1000 missed percentage: 1.550 func no: 9, theta: 1.900000e-01
N: 10000 missed percentage: 0.900 func no: 9, theta: 1.900000e-01
N: 20000 missed percentage: 0.800 func no: 9, theta: 1.900000e-01
N: 30000 missed percentage: 1.000 func no: 9, theta: 1.900000e-01
N:    10 missed percentage: 11.350 func no: 9, theta: 2.000000e-01
N:   100 missed percentage: 1.550 func no: 9, theta: 2.000000e-01
N:  1000 missed percentage: 0.800 func no: 9, theta: 2.000000e-01
N: 10000 missed percentage: 0.850 func no: 9, theta: 2.000000e-01
N: 20000 missed percentage: 0.600 func no: 9, theta: 2.000000e-01
N: 30000 missed percentage: 0.950 func no: 9, theta: 2.000000e-01
N:    10 missed percentage: 10.150 func no: 9, theta: 2.100000e-01
N:   100 missed percentage: 1.700 func no: 9, theta: 2.100000e-01
N:  1000 missed percentage: 0.900 func no: 9, theta: 2.100000e-01
N: 10000 missed percentage: 0.950 func no: 9, theta: 2.100000e-01
N: 20000 missed percentage: 1.550 func no: 9, theta: 2.100000e-01
N: 30000 missed percentage: 0.950 func no: 9, theta: 2.100000e-01
N:    10 missed percentage: 8.450 func no: 9, theta: 2.200000e-01
N:   100 missed percentage: 1.950 func no: 9, theta: 2.200000e-01
N:  1000 missed percentage: 1.200 func no: 9, theta: 2.200000e-01
N: 10000 missed percentage: 1.050 func no: 9, theta: 2.200000e-01
N: 20000 missed percentage: 0.800 func no: 9, theta: 2.200000e-01
N: 30000 missed percentage: 1.100 func no: 9, theta: 2.200000e-01
N:    10 missed percentage: 6.900 func no: 9, theta: 2.300000e-01
N:   100 missed percentage: 2.250 func no: 9, theta: 2.300000e-01
N:  1000 missed percentage: 1.100 func no: 9, theta: 2.300000e-01
N: 10000 missed percentage: 0.900 func no: 9, theta: 2.300000e-01
N: 20000 missed percentage: 1.150 func no: 9, theta: 2.300000e-01
N: 30000 missed percentage: 1.350 func no: 9, theta: 2.300000e-01
N:    10 missed percentage: 7.100 func no: 9, theta: 2.400000e-01
N:   100 missed percentage: 1.200 func no: 9, theta: 2.400000e-01
N:  1000 missed percentage: 1.500 func no: 9, theta: 2.400000e-01
N: 10000 missed percentage: 1.000 func no: 9, theta: 2.400000e-01
N: 20000 missed percentage: 1.250 func no: 9, theta: 2.400000e-01
N: 30000 missed percentage: 0.950 func no: 9, theta: 2.400000e-01
N:    10 missed percentage: 6.500 func no: 9, theta: 2.500000e-01
N:   100 missed percentage: 1.000 func no: 9, theta: 2.500000e-01
N:  1000 missed percentage: 1.150 func no: 9, theta: 2.500000e-01
N: 10000 missed percentage: 0.700 func no: 9, theta: 2.500000e-01
N: 20000 missed percentage: 0.900 func no: 9, theta: 2.500000e-01
N: 30000 missed percentage: 0.850 func no: 9, theta: 2.500000e-01
N:    10 missed percentage: 5.900 func no: 9, theta: 2.600000e-01
N:   100 missed percentage: 1.400 func no: 9, theta: 2.600000e-01
N:  1000 missed percentage: 0.800 func no: 9, theta: 2.600000e-01
N: 10000 missed percentage: 0.900 func no: 9, theta: 2.600000e-01
N: 20000 missed percentage: 1.100 func no: 9, theta: 2.600000e-01
N: 30000 missed percentage: 0.500 func no: 9, theta: 2.600000e-01
N:    10 missed percentage: 4.700 func no: 9, theta: 2.700000e-01
N:   100 missed percentage: 1.750 func no: 9, theta: 2.700000e-01
N:  1000 missed percentage: 0.850 func no: 9, theta: 2.700000e-01
N: 10000 missed percentage: 0.800 func no: 9, theta: 2.700000e-01
N: 20000 missed percentage: 0.850 func no: 9, theta: 2.700000e-01
N: 30000 missed percentage: 1.450 func no: 9, theta: 2.700000e-01
N:    10 missed percentage: 4.500 func no: 9, theta: 2.800000e-01
N:   100 missed percentage: 1.800 func no: 9, theta: 2.800000e-01
N:  1000 missed percentage: 0.600 func no: 9, theta: 2.800000e-01
N: 10000 missed percentage: 0.850 func no: 9, theta: 2.800000e-01
N: 20000 missed percentage: 0.950 func no: 9, theta: 2.800000e-01
N: 30000 missed percentage: 1.200 func no: 9, theta: 2.800000e-01
N:    10 missed percentage: 4.350 func no: 9, theta: 2.900000e-01
N:   100 missed percentage: 1.150 func no: 9, theta: 2.900000e-01
N:  1000 missed percentage: 1.000 func no: 9, theta: 2.900000e-01
N: 10000 missed percentage: 1.150 func no: 9, theta: 2.900000e-01
N: 20000 missed percentage: 0.850 func no: 9, theta: 2.900000e-01
N: 30000 missed percentage: 1.100 func no: 9, theta: 2.900000e-01
N:    10 missed percentage: 3.350 func no: 9, theta: 3.000000e-01
N:   100 missed percentage: 0.950 func no: 9, theta: 3.000000e-01
N:  1000 missed percentage: 0.600 func no: 9, theta: 3.000000e-01
N: 10000 missed percentage: 0.900 func no: 9, theta: 3.000000e-01
N: 20000 missed percentage: 1.100 func no: 9, theta: 3.000000e-01
N: 30000 missed percentage: 0.850 func no: 9, theta: 3.000000e-01
N:    10 missed percentage: 2.850 func no: 9, theta: 3.100000e-01
N:   100 missed percentage: 1.900 func no: 9, theta: 3.100000e-01
N:  1000 missed percentage: 1.000 func no: 9, theta: 3.100000e-01
N: 10000 missed percentage: 0.950 func no: 9, theta: 3.100000e-01
N: 20000 missed percentage: 0.900 func no: 9, theta: 3.100000e-01
N: 30000 missed percentage: 1.000 func no: 9, theta: 3.100000e-01
