N:    10 missed percentage: 1.250 func no: 8, a: 0, b: 1.000000e-02
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.000000e-02
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.000000e-02
N:    10 missed percentage: 1.600 func no: 8, a: 0, b: 2.000000e-02
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.000000e-02
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.000000e-02
N:    10 missed percentage: 1.100 func no: 8, a: 0, b: 3.000000e-02
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.000000e-02
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.000000e-02
N:    10 missed percentage: 1.600 func no: 8, a: 0, b: 4.000000e-02
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.000000e-02
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.000000e-02
N:    10 missed percentage: 1.350 func no: 8, a: 0, b: 5.000000e-02
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 5.000000e-02
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 5.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 5.000000e-02
N:    10 missed percentage: 1.650 func no: 8, a: 0, b: 6.000000e-02
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 6.000000e-02
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 6.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 6.000000e-02
N:    10 missed percentage: 1.100 func no: 8, a: 0, b: 7.000000e-02
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 7.000000e-02
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 7.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 7.000000e-02
N:    10 missed percentage: 1.600 func no: 8, a: 0, b: 8.000000e-02
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 8.000000e-02
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 8.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 8.000000e-02
N:    10 missed percentage: 0.700 func no: 8, a: 0, b: 9.000000e-02
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 9.000000e-02
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 9.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 9.000000e-02
N:    10 missed percentage: 1.150 func no: 8, a: 0, b: 1.000000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.000000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.000000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.000000e-01
N:    10 missed percentage: 1.250 func no: 8, a: 0, b: 1.100000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.100000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.100000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.100000e-01
N:    10 missed percentage: 1.200 func no: 8, a: 0, b: 1.200000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.200000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.200000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.200000e-01
N:    10 missed percentage: 0.800 func no: 8, a: 0, b: 1.300000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.300000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.300000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.300000e-01
N:    10 missed percentage: 1.300 func no: 8, a: 0, b: 1.400000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.400000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.400000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.400000e-01
N:    10 missed percentage: 1.700 func no: 8, a: 0, b: 1.500000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.500000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.500000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.500000e-01
N:    10 missed percentage: 1.500 func no: 8, a: 0, b: 1.600000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.600000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.600000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.600000e-01
N:    10 missed percentage: 1.250 func no: 8, a: 0, b: 1.700000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.700000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.700000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.700000e-01
N:    10 missed percentage: 1.050 func no: 8, a: 0, b: 1.800000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.800000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.800000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.800000e-01
N:    10 missed percentage: 0.900 func no: 8, a: 0, b: 1.900000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 1.900000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 1.900000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 1.900000e-01
N:    10 missed percentage: 1.000 func no: 8, a: 0, b: 2.000000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.000000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.000000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.000000e-01
N:    10 missed percentage: 1.150 func no: 8, a: 0, b: 2.100000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.100000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.100000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.100000e-01
N:    10 missed percentage: 1.000 func no: 8, a: 0, b: 2.200000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.200000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.200000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.200000e-01
N:    10 missed percentage: 1.300 func no: 8, a: 0, b: 2.300000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.300000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.300000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.300000e-01
N:    10 missed percentage: 1.150 func no: 8, a: 0, b: 2.400000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.400000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.400000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.400000e-01
N:    10 missed percentage: 1.600 func no: 8, a: 0, b: 2.500000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.500000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.500000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.500000e-01
N:    10 missed percentage: 1.100 func no: 8, a: 0, b: 2.600000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.600000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.600000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.600000e-01
N:    10 missed percentage: 1.150 func no: 8, a: 0, b: 2.700000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.700000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.700000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.700000e-01
N:    10 missed percentage: 1.250 func no: 8, a: 0, b: 2.800000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.800000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.800000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.800000e-01
N:    10 missed percentage: 0.650 func no: 8, a: 0, b: 2.900000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 2.900000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 2.900000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 2.900000e-01
N:    10 missed percentage: 0.950 func no: 8, a: 0, b: 3.000000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.000000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.000000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.000000e-01
N:    10 missed percentage: 1.300 func no: 8, a: 0, b: 3.100000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.100000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.100000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.100000e-01
N:    10 missed percentage: 1.150 func no: 8, a: 0, b: 3.200000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.200000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.200000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.200000e-01
N:    10 missed percentage: 1.100 func no: 8, a: 0, b: 3.300000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.300000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.300000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.300000e-01
N:    10 missed percentage: 1.000 func no: 8, a: 0, b: 3.400000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.400000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.400000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.400000e-01
N:    10 missed percentage: 1.000 func no: 8, a: 0, b: 3.500000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.500000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.500000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.500000e-01
N:    10 missed percentage: 1.450 func no: 8, a: 0, b: 3.600000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.600000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.600000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.600000e-01
N:    10 missed percentage: 1.350 func no: 8, a: 0, b: 3.700000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.700000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.700000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.700000e-01
N:    10 missed percentage: 0.850 func no: 8, a: 0, b: 3.800000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.800000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.800000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.800000e-01
N:    10 missed percentage: 1.650 func no: 8, a: 0, b: 3.900000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 3.900000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 3.900000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 3.900000e-01
N:    10 missed percentage: 0.950 func no: 8, a: 0, b: 4.000000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.000000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.000000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.000000e-01
N:    10 missed percentage: 1.550 func no: 8, a: 0, b: 4.100000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.100000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.100000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.100000e-01
N:    10 missed percentage: 1.600 func no: 8, a: 0, b: 4.200000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.200000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.200000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.200000e-01
N:    10 missed percentage: 1.400 func no: 8, a: 0, b: 4.300000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.300000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.300000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.300000e-01
N:    10 missed percentage: 1.450 func no: 8, a: 0, b: 4.400000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.400000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.400000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.400000e-01
N:    10 missed percentage: 1.150 func no: 8, a: 0, b: 4.500000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.500000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.500000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.500000e-01
N:    10 missed percentage: 1.350 func no: 8, a: 0, b: 4.600000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.600000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.600000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.600000e-01
N:    10 missed percentage: 1.350 func no: 8, a: 0, b: 4.700000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.700000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.700000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.700000e-01
N:    10 missed percentage: 1.350 func no: 8, a: 0, b: 4.800000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.800000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.800000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.800000e-01
N:    10 missed percentage: 1.650 func no: 8, a: 0, b: 4.900000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 4.900000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 4.900000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 4.900000e-01
N:    10 missed percentage: 1.100 func no: 8, a: 0, b: 5.000000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 5.000000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 5.000000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 5.000000e-01
N:    10 missed percentage: 0.900 func no: 8, a: 0, b: 5.100000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 5.100000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 5.100000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 5.100000e-01
N:    10 missed percentage: 0.950 func no: 8, a: 0, b: 5.200000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 5.200000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 5.200000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 5.200000e-01
N:    10 missed percentage: 1.500 func no: 8, a: 0, b: 5.300000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 5.300000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 5.300000e-01
N: 10000 missed percentage: 0.000 func no: 8, a: 0, b: 5.300000e-01
N:    10 missed percentage: 0.900 func no: 8, a: 0, b: 5.400000e-01
N:   100 missed percentage: 0.000 func no: 8, a: 0, b: 5.400000e-01
N:  1000 missed percentage: 0.000 func no: 8, a: 0, b: 5.400000e-01
