N:    10 missed percentage: 0.000 func no: 2, theta: 0
N:   100 missed percentage: 0.000 func no: 2, theta: 0
N:  1000 missed percentage: 0.000 func no: 2, theta: 0
N: 10000 missed percentage: 0.000 func no: 2, theta: 0
N: 20000 missed percentage: 0.000 func no: 2, theta: 0
N: 30000 missed percentage: 0.000 func no: 2, theta: 0
N:    10 missed percentage: 91.550 func no: 2, theta: 1.000000e-02
N:   100 missed percentage: 90.800 func no: 2, theta: 1.000000e-02
N:  1000 missed percentage: 100.000 func no: 2, theta: 1.000000e-02
N: 10000 missed percentage: 100.000 func no: 2, theta: 1.000000e-02
N: 20000 missed percentage: 100.000 func no: 2, theta: 1.000000e-02
N: 30000 missed percentage: 100.000 func no: 2, theta: 1.000000e-02
N:    10 missed percentage: 82.100 func no: 2, theta: 2.000000e-02
N:   100 missed percentage: 67.650 func no: 2, theta: 2.000000e-02
N:  1000 missed percentage: 97.500 func no: 2, theta: 2.000000e-02
N: 10000 missed percentage: 100.000 func no: 2, theta: 2.000000e-02
N: 20000 missed percentage: 100.000 func no: 2, theta: 2.000000e-02
N: 30000 missed percentage: 100.000 func no: 2, theta: 2.000000e-02
N:    10 missed percentage: 74.250 func no: 2, theta: 3.000000e-02
N:   100 missed percentage: 42.200 func no: 2, theta: 3.000000e-02
N:  1000 missed percentage: 47.150 func no: 2, theta: 3.000000e-02
N: 10000 missed percentage: 50.800 func no: 2, theta: 3.000000e-02
N: 20000 missed percentage: 47.000 func no: 2, theta: 3.000000e-02
N: 30000 missed percentage: 48.600 func no: 2, theta: 3.000000e-02
N:    10 missed percentage: 65.850 func no: 2, theta: 4.000000e-02
N:   100 missed percentage: 21.750 func no: 2, theta: 4.000000e-02
N:  1000 missed percentage: 3.850 func no: 2, theta: 4.000000e-02
N: 10000 missed percentage: 0.000 func no: 2, theta: 4.000000e-02
N: 20000 missed percentage: 0.000 func no: 2, theta: 4.000000e-02
N: 30000 missed percentage: 0.000 func no: 2, theta: 4.000000e-02
N:    10 missed percentage: 56.950 func no: 2, theta: 5.000000e-02
N:   100 missed percentage: 11.350 func no: 2, theta: 5.000000e-02
N:  1000 missed percentage: 0.000 func no: 2, theta: 5.000000e-02
N: 10000 missed percentage: 0.000 func no: 2, theta: 5.000000e-02
N: 20000 missed percentage: 0.000 func no: 2, theta: 5.000000e-02
N: 30000 missed percentage: 0.000 func no: 2, theta: 5.000000e-02
N:    10 missed percentage: 54.800 func no: 2, theta: 6.000000e-02
N:   100 missed percentage: 5.600 func no: 2, theta: 6.000000e-02
N:  1000 missed percentage: 0.000 func no: 2, theta: 6.000000e-02
N: 10000 missed percentage: 0.000 func no: 2, theta: 6.000000e-02
N: 20000 missed percentage: 0.000 func no: 2, theta: 6.000000e-02
N: 30000 missed percentage: 0.000 func no: 2, theta: 6.000000e-02
N:    10 missed percentage: 46.350 func no: 2, theta: 7.000000e-02
N:   100 missed percentage: 2.250 func no: 2, theta: 7.000000e-02
N:  1000 missed percentage: 0.000 func no: 2, theta: 7.000000e-02
N: 10000 missed percentage: 0.000 func no: 2, theta: 7.000000e-02
N: 20000 missed percentage: 0.000 func no: 2, theta: 7.000000e-02
N: 30000 missed percentage: 0.000 func no: 2, theta: 7.000000e-02
N:    10 missed percentage: 42.550 func no: 2, theta: 8.000000e-02
N:   100 missed percentage: 1.250 func no: 2, theta: 8.000000e-02
N:  1000 missed percentage: 0.000 func no: 2, theta: 8.000000e-02
N: 10000 missed percentage: 0.000 func no: 2, theta: 8.000000e-02
N: 20000 missed percentage: 0.000 func no: 2, theta: 8.000000e-02
N: 30000 missed percentage: 0.000 func no: 2, theta: 8.000000e-02
N:    10 missed percentage: 37.850 func no: 2, theta: 9.000000e-02
N:   100 missed percentage: 0.600 func no: 2, theta: 9.000000e-02
N:  1000 missed percentage: 0.000 func no: 2, theta: 9.000000e-02
N: 10000 missed percentage: 0.000 func no: 2, theta: 9.000000e-02
N: 20000 missed percentage: 0.000 func no: 2, theta: 9.000000e-02
N: 30000 missed percentage: 0.000 func no: 2, theta: 9.000000e-02
N:    10 missed percentage: 34.450 func no: 2, theta: 1.000000e-01
N:   100 missed percentage: 0.200 func no: 2, theta: 1.000000e-01
N:  1000 missed percentage: 0.000 func no: 2, theta: 1.000000e-01
N: 10000 missed percentage: 0.000 func no: 2, theta: 1.000000e-01
N: 20000 missed percentage: 0.000 func no: 2, theta: 1.000000e-01
N: 30000 missed percentage: 0.000 func no: 2, theta: 1.000000e-01
N:    10 missed percentage: 31.800 func no: 2, theta: 1.100000e-01
N:   100 missed percentage: 0.200 func no: 2, theta: 1.100000e-01
N:  1000 missed percentage: 0.000 func no: 2, theta: 1.100000e-01
N: 10000 missed percentage: 0.000 func no: 2, theta: 1.100000e-01
N: 20000 missed percentage: 0.000 func no: 2, theta: 1.100000e-01
N: 30000 missed percentage: 0.000 func no: 2, theta: 1.100000e-01
N:    10 missed percentage: 28.100 func no: 2, theta: 1.200000e-01
N:   100 missed percentage: 0.050 func no: 2, theta: 1.200000e-01
N:  1000 missed percentage: 0.000 func no: 2, theta: 1.200000e-01
N: 10000 missed percentage: 0.000 func no: 2, theta: 1.200000e-01
N: 20000 missed percentage: 0.000 func no: 2, theta: 1.200000e-01
N: 30000 missed percentage: 0.000 func no: 2, theta: 1.200000e-01
N:    10 missed percentage: 26.050 func no: 2, theta: 1.300000e-01
N:   100 missed percentage: 0.050 func no: 2, theta: 1.300000e-01
N:  1000 missed percentage: 0.000 func no: 2, theta: 1.300000e-01
N: 10000 missed percentage: 0.000 func no: 2, theta: 1.300000e-01
N: 20000 missed percentage: 0.000 func no: 2, theta: 1.300000e-01
N: 30000 missed percentage: 0.000 func no: 2, theta: 1.300000e-01
N:    10 missed percentage: 23.550 func no: 2, theta: 1.400000e-01
N:   100 missed percentage: 0.000 func no: 2, theta: 1.400000e-01
N:  1000 missed percentage: 0.000 func no: 2, theta: 1.400000e-01
N: 10000 missed percentage: 0.000 func no: 2, theta: 1.400000e-01
N: 20000 missed percentage: 0.000 func no: 2, theta: 1.400000e-01
