N:    10 missed percentage: 0.150 func no: 1, a: 0, b: 1.000000e-02
N:   100 missed percentage: 0.000 func no: 1, a: 0, b: 1.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, a: 0, b: 1.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, a: 0, b: 1.000000e-02
N:    10 missed percentage: 0.150 func no: 1, a: 0, b: 2.000000e-02
N:   100 missed percentage: 0.000 func no: 1, a: 0, b: 2.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, a: 0, b: 2.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, a: 0, b: 2.000000e-02
N:    10 missed percentage: 0.350 func no: 1, a: 0, b: 3.000000e-02
N:   100 missed percentage: 0.000 func no: 1, a: 0, b: 3.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, a: 0, b: 3.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, a: 0, b: 3.000000e-02
N:    10 missed percentage: 0.100 func no: 1, a: 0, b: 4.000000e-02
N:   100 missed percentage: 0.000 func no: 1, a: 0, b: 4.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, a: 0, b: 4.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, a: 0, b: 4.000000e-02
N:    10 missed percentage: 0.450 func no: 1, a: 0, b: 5.000000e-02
N:   100 missed percentage: 0.000 func no: 1, a: 0, b: 5.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, a: 0, b: 5.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, a: 0, b: 5.000000e-02
N:    10 missed percentage: 0.200 func no: 1, a: 0, b: 6.000000e-02
N:   100 missed percentage: 0.000 func no: 1, a: 0, b: 6.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, a: 0, b: 6.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, a: 0, b: 6.000000e-02
N:    10 missed percentage: 0.350 func no: 1, a: 0, b: 7.000000e-02
N:   100 missed percentage: 0.000 func no: 1, a: 0, b: 7.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, a: 0, b: 7.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, a: 0, b: 7.000000e-02
N:    10 missed percentage: 0.350 func no: 1, a: 0, b: 8.000000e-02
