N:    10 missed percentage: 0.000 func no: 8, theta: 0
N:   100 missed percentage: 0.000 func no: 8, theta: 0
N:  1000 missed percentage: 0.000 func no: 8, theta: 0
N: 10000 missed percentage: 0.000 func no: 8, theta: 0
N: 20000 missed percentage: 0.000 func no: 8, theta: 0
N: 30000 missed percentage: 0.000 func no: 8, theta: 0
N:    10 missed percentage: 91.050 func no: 8, theta: 1.000000e-02
N:   100 missed percentage: 100.000 func no: 8, theta: 1.000000e-02
N:  1000 missed percentage: 100.000 func no: 8, theta: 1.000000e-02
N: 10000 missed percentage: 100.000 func no: 8, theta: 1.000000e-02
N: 20000 missed percentage: 100.000 func no: 8, theta: 1.000000e-02
N: 30000 missed percentage: 100.000 func no: 8, theta: 1.000000e-02
N:    10 missed percentage: 81.700 func no: 8, theta: 2.000000e-02
N:   100 missed percentage: 99.900 func no: 8, theta: 2.000000e-02
N:  1000 missed percentage: 100.000 func no: 8, theta: 2.000000e-02
N: 10000 missed percentage: 100.000 func no: 8, theta: 2.000000e-02
N: 20000 missed percentage: 100.000 func no: 8, theta: 2.000000e-02
N: 30000 missed percentage: 100.000 func no: 8, theta: 2.000000e-02
N:    10 missed percentage: 74.550 func no: 8, theta: 3.000000e-02
N:   100 missed percentage: 99.350 func no: 8, theta: 3.000000e-02
N:  1000 missed percentage: 100.000 func no: 8, theta: 3.000000e-02
N: 10000 missed percentage: 100.000 func no: 8, theta: 3.000000e-02
N: 20000 missed percentage: 100.000 func no: 8, theta: 3.000000e-02
N: 30000 missed percentage: 100.000 func no: 8, theta: 3.000000e-02
N:    10 missed percentage: 65.350 func no: 8, theta: 4.000000e-02
N:   100 missed percentage: 95.700 func no: 8, theta: 4.000000e-02
N:  1000 missed percentage: 100.000 func no: 8, theta: 4.000000e-02
N: 10000 missed percentage: 100.000 func no: 8, theta: 4.000000e-02
N: 20000 missed percentage: 100.000 func no: 8, theta: 4.000000e-02
N: 30000 missed percentage: 100.000 func no: 8, theta: 4.000000e-02
N:    10 missed percentage: 60.250 func no: 8, theta: 5.000000e-02
N:   100 missed percentage: 88.350 func no: 8, theta: 5.000000e-02
N:  1000 missed percentage: 100.000 func no: 8, theta: 5.000000e-02
N: 10000 missed percentage: 100.000 func no: 8, theta: 5.000000e-02
N: 20000 missed percentage: 100.000 func no: 8, theta: 5.000000e-02
N: 30000 missed percentage: 100.000 func no: 8, theta: 5.000000e-02
N:    10 missed percentage: 54.050 func no: 8, theta: 6.000000e-02
N:   100 missed percentage: 73.700 func no: 8, theta: 6.000000e-02
N:  1000 missed percentage: 98.000 func no: 8, theta: 6.000000e-02
N: 10000 missed percentage: 100.000 func no: 8, theta: 6.000000e-02
N: 20000 missed percentage: 100.000 func no: 8, theta: 6.000000e-02
N: 30000 missed percentage: 100.000 func no: 8, theta: 6.000000e-02
N:    10 missed percentage: 47.950 func no: 8, theta: 7.000000e-02
N:   100 missed percentage: 61.300 func no: 8, theta: 7.000000e-02
N:  1000 missed percentage: 76.050 func no: 8, theta: 7.000000e-02
N: 10000 missed percentage: 96.850 func no: 8, theta: 7.000000e-02
N: 20000 missed percentage: 99.700 func no: 8, theta: 7.000000e-02
N: 30000 missed percentage: 100.000 func no: 8, theta: 7.000000e-02
N:    10 missed percentage: 44.150 func no: 8, theta: 8.000000e-02
N:   100 missed percentage: 46.500 func no: 8, theta: 8.000000e-02
N:  1000 missed percentage: 29.950 func no: 8, theta: 8.000000e-02
N: 10000 missed percentage: 3.450 func no: 8, theta: 8.000000e-02
N: 20000 missed percentage: 0.700 func no: 8, theta: 8.000000e-02
N: 30000 missed percentage: 0.100 func no: 8, theta: 8.000000e-02
N:    10 missed percentage: 37.550 func no: 8, theta: 9.000000e-02
N:   100 missed percentage: 32.600 func no: 8, theta: 9.000000e-02
N:  1000 missed percentage: 4.150 func no: 8, theta: 9.000000e-02
N: 10000 missed percentage: 0.000 func no: 8, theta: 9.000000e-02
N: 20000 missed percentage: 0.000 func no: 8, theta: 9.000000e-02
N: 30000 missed percentage: 0.000 func no: 8, theta: 9.000000e-02
N:    10 missed percentage: 34.000 func no: 8, theta: 1.000000e-01
N:   100 missed percentage: 20.300 func no: 8, theta: 1.000000e-01
N:  1000 missed percentage: 0.400 func no: 8, theta: 1.000000e-01
N: 10000 missed percentage: 0.000 func no: 8, theta: 1.000000e-01
N: 20000 missed percentage: 0.000 func no: 8, theta: 1.000000e-01
N: 30000 missed percentage: 0.000 func no: 8, theta: 1.000000e-01
N:    10 missed percentage: 30.650 func no: 8, theta: 1.100000e-01
N:   100 missed percentage: 13.400 func no: 8, theta: 1.100000e-01
N:  1000 missed percentage: 0.100 func no: 8, theta: 1.100000e-01
N: 10000 missed percentage: 0.000 func no: 8, theta: 1.100000e-01
N: 20000 missed percentage: 0.000 func no: 8, theta: 1.100000e-01
N: 30000 missed percentage: 0.000 func no: 8, theta: 1.100000e-01
N:    10 missed percentage: 27.250 func no: 8, theta: 1.200000e-01
N:   100 missed percentage: 7.100 func no: 8, theta: 1.200000e-01
N:  1000 missed percentage: 0.000 func no: 8, theta: 1.200000e-01
N: 10000 missed percentage: 0.000 func no: 8, theta: 1.200000e-01
N: 20000 missed percentage: 0.000 func no: 8, theta: 1.200000e-01
N: 30000 missed percentage: 0.000 func no: 8, theta: 1.200000e-01
N:    10 missed percentage: 25.350 func no: 8, theta: 1.300000e-01
N:   100 missed percentage: 4.650 func no: 8, theta: 1.300000e-01
N:  1000 missed percentage: 0.000 func no: 8, theta: 1.300000e-01
N: 10000 missed percentage: 0.000 func no: 8, theta: 1.300000e-01
N: 20000 missed percentage: 0.000 func no: 8, theta: 1.300000e-01
N: 30000 missed percentage: 0.000 func no: 8, theta: 1.300000e-01
