N:    10 missed percentage: 0.000 func no: 1, theta: 0
N:   100 missed percentage: 0.000 func no: 1, theta: 0
N:  1000 missed percentage: 0.000 func no: 1, theta: 0
N: 10000 missed percentage: 0.000 func no: 1, theta: 0
N: 20000 missed percentage: 0.000 func no: 1, theta: 0
N: 30000 missed percentage: 0.000 func no: 1, theta: 0
N:    10 missed percentage: 90.550 func no: 1, theta: 1.000000e-02
N:   100 missed percentage: 36.700 func no: 1, theta: 1.000000e-02
N:  1000 missed percentage: 0.050 func no: 1, theta: 1.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.000000e-02
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.000000e-02
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.000000e-02
N:    10 missed percentage: 83.250 func no: 1, theta: 2.000000e-02
N:   100 missed percentage: 13.350 func no: 1, theta: 2.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, theta: 2.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, theta: 2.000000e-02
N: 20000 missed percentage: 0.000 func no: 1, theta: 2.000000e-02
N: 30000 missed percentage: 0.000 func no: 1, theta: 2.000000e-02
N:    10 missed percentage: 73.500 func no: 1, theta: 3.000000e-02
N:   100 missed percentage: 5.900 func no: 1, theta: 3.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, theta: 3.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, theta: 3.000000e-02
N: 20000 missed percentage: 0.000 func no: 1, theta: 3.000000e-02
N: 30000 missed percentage: 0.000 func no: 1, theta: 3.000000e-02
N:    10 missed percentage: 64.700 func no: 1, theta: 4.000000e-02
N:   100 missed percentage: 1.950 func no: 1, theta: 4.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, theta: 4.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, theta: 4.000000e-02
N: 20000 missed percentage: 0.000 func no: 1, theta: 4.000000e-02
N: 30000 missed percentage: 0.000 func no: 1, theta: 4.000000e-02
N:    10 missed percentage: 59.650 func no: 1, theta: 5.000000e-02
N:   100 missed percentage: 0.500 func no: 1, theta: 5.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, theta: 5.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, theta: 5.000000e-02
N: 20000 missed percentage: 0.000 func no: 1, theta: 5.000000e-02
N: 30000 missed percentage: 0.000 func no: 1, theta: 5.000000e-02
N:    10 missed percentage: 53.300 func no: 1, theta: 6.000000e-02
N:   100 missed percentage: 0.050 func no: 1, theta: 6.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, theta: 6.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, theta: 6.000000e-02
N: 20000 missed percentage: 0.000 func no: 1, theta: 6.000000e-02
N: 30000 missed percentage: 0.000 func no: 1, theta: 6.000000e-02
N:    10 missed percentage: 48.450 func no: 1, theta: 7.000000e-02
N:   100 missed percentage: 0.150 func no: 1, theta: 7.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, theta: 7.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, theta: 7.000000e-02
N: 20000 missed percentage: 0.000 func no: 1, theta: 7.000000e-02
N: 30000 missed percentage: 0.000 func no: 1, theta: 7.000000e-02
N:    10 missed percentage: 44.100 func no: 1, theta: 8.000000e-02
N:   100 missed percentage: 0.000 func no: 1, theta: 8.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, theta: 8.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, theta: 8.000000e-02
N: 20000 missed percentage: 0.000 func no: 1, theta: 8.000000e-02
N: 30000 missed percentage: 0.000 func no: 1, theta: 8.000000e-02
N:    10 missed percentage: 39.650 func no: 1, theta: 9.000000e-02
N:   100 missed percentage: 0.050 func no: 1, theta: 9.000000e-02
N:  1000 missed percentage: 0.000 func no: 1, theta: 9.000000e-02
N: 10000 missed percentage: 0.000 func no: 1, theta: 9.000000e-02
N: 20000 missed percentage: 0.000 func no: 1, theta: 9.000000e-02
N: 30000 missed percentage: 0.000 func no: 1, theta: 9.000000e-02
N:    10 missed percentage: 35.800 func no: 1, theta: 1.000000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 1.000000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.000000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.000000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.000000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.000000e-01
N:    10 missed percentage: 32.000 func no: 1, theta: 1.100000e-01
N:   100 missed percentage: 0.050 func no: 1, theta: 1.100000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.100000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.100000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.100000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.100000e-01
N:    10 missed percentage: 27.550 func no: 1, theta: 1.200000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 1.200000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.200000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.200000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.200000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.200000e-01
N:    10 missed percentage: 23.800 func no: 1, theta: 1.300000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 1.300000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.300000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.300000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.300000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.300000e-01
N:    10 missed percentage: 22.650 func no: 1, theta: 1.400000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 1.400000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.400000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.400000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.400000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.400000e-01
N:    10 missed percentage: 20.050 func no: 1, theta: 1.500000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 1.500000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.500000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.500000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.500000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.500000e-01
N:    10 missed percentage: 18.550 func no: 1, theta: 1.600000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 1.600000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.600000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.600000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.600000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.600000e-01
N:    10 missed percentage: 17.400 func no: 1, theta: 1.700000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 1.700000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.700000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.700000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.700000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.700000e-01
N:    10 missed percentage: 15.800 func no: 1, theta: 1.800000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 1.800000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.800000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.800000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.800000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.800000e-01
N:    10 missed percentage: 13.450 func no: 1, theta: 1.900000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 1.900000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 1.900000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 1.900000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 1.900000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 1.900000e-01
N:    10 missed percentage: 9.500 func no: 1, theta: 2.000000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 2.000000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 2.000000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 2.000000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 2.000000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 2.000000e-01
N:    10 missed percentage: 9.900 func no: 1, theta: 2.100000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 2.100000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 2.100000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 2.100000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 2.100000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 2.100000e-01
N:    10 missed percentage: 9.150 func no: 1, theta: 2.200000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 2.200000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 2.200000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 2.200000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 2.200000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 2.200000e-01
N:    10 missed percentage: 7.850 func no: 1, theta: 2.300000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 2.300000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 2.300000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 2.300000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 2.300000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 2.300000e-01
N:    10 missed percentage: 7.300 func no: 1, theta: 2.400000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 2.400000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 2.400000e-01
N: 10000 missed percentage: 0.000 func no: 1, theta: 2.400000e-01
N: 20000 missed percentage: 0.000 func no: 1, theta: 2.400000e-01
N: 30000 missed percentage: 0.000 func no: 1, theta: 2.400000e-01
N:    10 missed percentage: 5.000 func no: 1, theta: 2.500000e-01
N:   100 missed percentage: 0.000 func no: 1, theta: 2.500000e-01
N:  1000 missed percentage: 0.000 func no: 1, theta: 2.500000e-01
