N:    10 missed percentage: 0.000 func no: 3, theta: 0
N:   100 missed percentage: 0.000 func no: 3, theta: 0
N:  1000 missed percentage: 0.000 func no: 3, theta: 0
N: 10000 missed percentage: 0.000 func no: 3, theta: 0
N: 20000 missed percentage: 0.000 func no: 3, theta: 0
N: 30000 missed percentage: 0.000 func no: 3, theta: 0
N:    10 missed percentage: 91.000 func no: 3, theta: 1.000000e-02
N:   100 missed percentage: 37.600 func no: 3, theta: 1.000000e-02
N:  1000 missed percentage: 7.050 func no: 3, theta: 1.000000e-02
N: 10000 missed percentage: 4.350 func no: 3, theta: 1.000000e-02
N: 20000 missed percentage: 5.050 func no: 3, theta: 1.000000e-02
N: 30000 missed percentage: 4.900 func no: 3, theta: 1.000000e-02
N:    10 missed percentage: 81.650 func no: 3, theta: 2.000000e-02
N:   100 missed percentage: 12.550 func no: 3, theta: 2.000000e-02
N:  1000 missed percentage: 4.800 func no: 3, theta: 2.000000e-02
N: 10000 missed percentage: 4.550 func no: 3, theta: 2.000000e-02
N: 20000 missed percentage: 4.900 func no: 3, theta: 2.000000e-02
N: 30000 missed percentage: 4.050 func no: 3, theta: 2.000000e-02
N:    10 missed percentage: 72.450 func no: 3, theta: 3.000000e-02
N:   100 missed percentage: 20.100 func no: 3, theta: 3.000000e-02
N:  1000 missed percentage: 7.200 func no: 3, theta: 3.000000e-02
N: 10000 missed percentage: 5.350 func no: 3, theta: 3.000000e-02
N: 20000 missed percentage: 5.350 func no: 3, theta: 3.000000e-02
N: 30000 missed percentage: 4.100 func no: 3, theta: 3.000000e-02
N:    10 missed percentage: 67.200 func no: 3, theta: 4.000000e-02
N:   100 missed percentage: 9.600 func no: 3, theta: 4.000000e-02
N:  1000 missed percentage: 5.050 func no: 3, theta: 4.000000e-02
N: 10000 missed percentage: 4.650 func no: 3, theta: 4.000000e-02
N: 20000 missed percentage: 4.950 func no: 3, theta: 4.000000e-02
N: 30000 missed percentage: 6.150 func no: 3, theta: 4.000000e-02
N:    10 missed percentage: 59.550 func no: 3, theta: 5.000000e-02
N:   100 missed percentage: 11.950 func no: 3, theta: 5.000000e-02
N:  1000 missed percentage: 6.600 func no: 3, theta: 5.000000e-02
N: 10000 missed percentage: 4.800 func no: 3, theta: 5.000000e-02
N: 20000 missed percentage: 4.850 func no: 3, theta: 5.000000e-02
N: 30000 missed percentage: 4.950 func no: 3, theta: 5.000000e-02
N:    10 missed percentage: 54.350 func no: 3, theta: 6.000000e-02
N:   100 missed percentage: 7.400 func no: 3, theta: 6.000000e-02
N:  1000 missed percentage: 5.050 func no: 3, theta: 6.000000e-02
N: 10000 missed percentage: 5.100 func no: 3, theta: 6.000000e-02
N: 20000 missed percentage: 4.950 func no: 3, theta: 6.000000e-02
N: 30000 missed percentage: 5.000 func no: 3, theta: 6.000000e-02
N:    10 missed percentage: 47.700 func no: 3, theta: 7.000000e-02
N:   100 missed percentage: 7.500 func no: 3, theta: 7.000000e-02
N:  1000 missed percentage: 4.600 func no: 3, theta: 7.000000e-02
N: 10000 missed percentage: 4.900 func no: 3, theta: 7.000000e-02
N: 20000 missed percentage: 4.600 func no: 3, theta: 7.000000e-02
N: 30000 missed percentage: 4.400 func no: 3, theta: 7.000000e-02
N:    10 missed percentage: 45.500 func no: 3, theta: 8.000000e-02
N:   100 missed percentage: 9.950 func no: 3, theta: 8.000000e-02
N:  1000 missed percentage: 4.650 func no: 3, theta: 8.000000e-02
N: 10000 missed percentage: 4.750 func no: 3, theta: 8.000000e-02
N: 20000 missed percentage: 5.300 func no: 3, theta: 8.000000e-02
N: 30000 missed percentage: 5.050 func no: 3, theta: 8.000000e-02
N:    10 missed percentage: 38.900 func no: 3, theta: 9.000000e-02
N:   100 missed percentage: 4.600 func no: 3, theta: 9.000000e-02
